item,spec,supplier_or_search_terms,price_each,date_checked,lead_time,substitution_rule,risk
Natural horn blank,"Domesticated cow/ox/goat/sheep horn, closed tip, cleanable interior",cow horn blank ox horn craft horn goat horn instrument blank,TBD live check,,TBD,Do not use endangered species; reject cracked or delaminated blanks,"Each horn has different volume and curvature, so every blank is tuned empirically"
Casting slip,White stoneware or porcelain casting slip; shrinkage data required,ceramic casting slip cone 6 porcelain stoneware gallon,TBD live check,,TBD,Must provide shrinkage and firing cone,Shrinkage variation changes all dimensions and pitch
Pottery plaster,No. 1 pottery plaster or equivalent mold plaster,pottery plaster mold plaster 50 lb,TBD live check,,TBD,"Use ceramic mold plaster, not construction plaster",Poor absorption causes slow wall growth and release trouble
Hardwood block stock,"Fine-grain stable hardwood blanks, 1/2 to 2 in depending size",cedar pear maple turning blank instrument block,TBD live check,,TBD,Avoid resinous or mouth-unsafe finishes,Block swelling or warping changes windway
Leather/cork gasket,"Thin natural leather, cork sheet, or mouth-safe gasket material",thin cork gasket sheet leather scrap beeswax,TBD live check,,TBD,Must seal without shedding dust,Leaks make voicing unstable
Tuning ring material,Thin brass strip/tube or leather collar,thin brass strip tube hobby K&S brass,TBD live check,,TBD,Collar must rotate smoothly and not chip clay,Rough collar damages vent edge
CNC wood body blank,"Straight-grained maple, cherry, pear, beech, or boxwood; two oversized halves per prototype",hardwood turning blank maple cherry pear boxwood 12 inch,TBD live check,,TBD,"Substitute only with stable, mouth-safe-finish-compatible hardwood",Glue seam and humidity movement can shift tuning
Registration dowels,"1/4 in hardwood dowels or reusable metal datum pins",quarter inch hardwood dowel precision dowel pins,TBD live check,,TBD,Pin diameter must match CAM and drill operation,Registration error ruins split-body alignment
Mouth-safe finish test materials,"Shellac flakes, food-safe oil/wax, or proven instrument finish for coupons",shellac flakes food safe wood finish beeswax carnauba,TBD live check,,TBD,Must pass mouth-contact and odor test before use,Finish can swell/round windway and labium
Prototype/master print material,"PLA/PETG/SLA resin for sealed masters only unless mouth safety is proven",3D print filament resin mold master sealant,TBD live check,,TBD,Final playing body requires safety review,Layer lines leak and roughen windway
